Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
White Park Inn Batorego 18 Niepodległości Mokotów Centrum Downtown WIFI free smartTV II,"Mokotów, Varsovie",Appartement 1 Chambre,1 lit double,"9,1",62 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 114€ 68-40 %
"InterContinental Warszawa, an IHG Hotel","Śródmieście, Varsovie",Chambre Lit King-Size Classique - Étage Supérieur,1 très grand lit double,"9,1",11 011 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 156
Prywatny pokój dla dwóch osób Pokój 2,"Śródmieście, Varsovie",Chambre Double,1 canapé-lit,"7,7",3 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 36
AK Apartments,"Praga-Północ, Varsovie",Appartement,Hébergement géré par un particulier,"9,7",103 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 88
Hotel Gromada Warszawa Centrum,"Śródmieście, Varsovie",Chambre Affaires Lits Jumeaux,2 lits simples,"8,2",13 157 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 81
Motel One Warsaw-Chopin,"Śródmieście, Varsovie",Chambre Lit King-Size Standard,1 grand lit double,"9,1",11 505 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 65
Warsaw Marriott Hotel,"Śródmieście, Varsovie",Chambre Deluxe avec 2 Lits Doubles,2 lits doubles,"8,6",4 365 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 121
Novotel Warszawa Centrum,"Śródmieście, Varsovie",Chambre Lits Jumeaux Standard,2 lits simples,"8,7",19 601 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 96
Platinum Hotel&Residence Wilanów,"Wilanów, Varsovie",Chambre Double,1 lit double,"7,8",2 108 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 58
404 Rooms Wilanowska,"Mokotów, Varsovie",Chambre Simple Économique,1 lit simple,"7,8",1 361 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 49€ 40-18 %
Coser Apartamenty Centrum,"Śródmieście, Varsovie",Studio,"2 lits (1 lit double, 1 canapé-lit)","8,0",4 576 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 77
Airport Hotel Okęcie,"Włochy, Varsovie",Chambre Double ou Lits Jumeaux Confort ,Types de lits : 1 lit double ou 2 lits simples,"9,1",13 227 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 77
