Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Amazing 2-Room Penthouse Cityview W13,"Sector 6, Bucarest",Penthouse,"2 lits (1 lit double, 1 canapé-lit)","9,7",18 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 120€ 94
Hotel Sir Gara de Nord,"Sector 1, Bucarest",Chambre Simple avec Salle de Bains Commune,1 lit simple,"7,3",3 466 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 28
ALSAB,"Sector 2, Bucarest",Appartement 1 Chambre,Hébergement géré par un particulier,"8,0",1 expérience vécue,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 50
Darin Hotel,"Sector 4, Bucarest",Chambre Double Deluxe,1 lit double,"7,1",12 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 74
Europa Royale Bucharest,"Sector 3, Bucarest",Chambre Double Standard,1 grand lit double,"8,5",4 019 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 124€ 74
Hotel Michelangelo,"Sector 1, Bucarest",Chambre Double Standard,1 grand lit double,"8,8",1 229 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 120
Grand Boutique Hotel,"Sector 2, Bucarest",Chambre Simple,Plusieurs types de lits,"8,8",1 804 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 69
MRS,Bucarest,Maison 5 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,"sam. 25 nov.
—
dim. 26 nov.",€ 203
Euro Hotel Grivita,"Sector 1, Bucarest",Chambre Lits Jumeaux,2 lits simples,"9,1",1 275 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 54
ApartHotel Rin Grand,"Sector 4, Bucarest",Appartement 1 Chambre,Hébergement géré par un particulier,10,3 expériences vécues,"1 nuit, 1 adulte","sam. 25 nov.
—
dim. 26 nov.",€ 36
